Date,U1,U3,Speed1
,-0.76955,0.89021,0
,-0.86749,0.6621,0
,-0.5983,0.8588,0
,-0.78529,0.42025,0
,-0.47803,0.92084,0
,-0.92999,0.66731,0
,-0.71182,1.29892,0
,-1.05334,1.19821,0
,-0.88043,1.84497,0
,-1.10041,1.80819,0
,-1.01025,1.98468,0
,-1.06368,1.87228,0
,-0.95931,2.00947,0
,-1.01723,1.7763,0
,-0.91831,1.91222,0
,-1.08743,1.79667,0
,-0.9449,2.03615,0
,-1.24384,2.00489,0
,-1.05827,2.39387,0
,-1.32213,2.33577,0
,-1.20004,2.49963,0
,-1.33136,2.30783,0
,-1.23907,2.48606,0
,-1.27687,2.16544,0
,-1.18805,2.32425,0
,-1.21528,2.05777,0
,-1.06285,2.2109,0
,-1.10736,1.93859,0
,-1.00488,2.08556,0
,-1.04939,1.8385,0
,-0.98148,1.96479,0
,-1.03361,1.79556,0
,-0.97256,1.90922,0
,-1.02335,1.76241,0
,-0.95587,1.83708,0
,-1.0181,1.76004,0
,-0.9498,1.85902,0
,-1.00883,1.74899,0
,-0.93101,1.83424,0
,-1.00891,1.79982,0
,-0.94143,1.91917,0
,-1.01715,1.83124,0
,-0.93259,1.91349,0
,-1.00512,1.79225,0
,-0.9436,1.90165,0
,-1.00026,1.78451,0
,-0.93658,1.97789,0
,-1.06036,1.94948,0
,-0.97513,2.17759,0
,-1.1961,1.9951,0
,-1.04126,2.1907,0
,-1.28023,1.57424,0
,-1.13762,2.03062,0
,-1.28212,1.53303,0
,-1.05681,1.91112,0
,-1.27466,1.47415,0
,-1.07441,1.79067,0
,-1.22443,1.44305,0
,-0.99849,1.74394,0
,-1.1128,1.5594,0
,-0.91298,1.92106,0
,-1.05346,1.76367,0
,-0.85742,2.10734,0
,-0.91894,1.93953,0
,-0.78024,2.13765,0
,-0.86776,1.93417,0
,-0.7205,2.11445,0
,-0.81295,1.66327,0
,-0.59565,1.99605,0
,-0.81228,1.76809,0
,-0.58555,2.17743,0
,-0.76462,1.74394,0
,-0.51855,2.24737,0
,-0.73423,1.48299,0
,-0.45017,1.97726,0
,-0.66427,1.3586,0
,-0.39284,1.68411,0
,-0.59104,1.36017,0
,-0.43853,1.6036,0
,-0.62118,1.35796,0
,-0.4216,1.7321,0
,-0.6301,1.49436,0
,-0.42152,1.78009,0
,-0.60816,1.64464,0
,-0.4465,1.94853,0
,-0.58579,1.78735,0
,-0.3836,2.09298,0
,-0.5687,1.77914,0
,-0.43375,2.08572,0
,-0.55541,1.62191,0
,-0.41738,2.003,0
,-0.53804,1.62033,0
,-0.38005,1.83282,0
